sec_code,sec_name,industry,year,title,announcement_id,published_at,file,size_kb,sha256,status
000010,美丽生态,土木工程建筑业,2023,2023年年度报告,1219872059,2024-04-27,corpus\raw\000010_美丽生态_2023.pdf,2959,cf035f309b8ad31a49a52115d90545ab24cd6673c19076b7070d83f2e860f20c,downloaded
000413,东旭光电,计算机、通信和其他电子设备制造业,2023,2023年年度报告,1220543292,2024-07-05,corpus\raw\000413_东旭光电_2023.pdf,6001,345426d326d62461b58688ce6ddeacff230b3451d8140eb6d6134e70affddf02,downloaded
000525,ST红太阳,化学原料和化学制品制造业,2023,2023年年度报告,1219919338,2024-04-30,corpus\raw\000525_ST红太阳_2023.pdf,1709,d04269dcddff6e2165243d7c6d7663c0eabd0f567b7bd609ce6a2a488a0092d2,downloaded
000547,航天发展,计算机、通信和其他电子设备制造业,2023,2023年年度报告,1219924470,2024-04-30,corpus\raw\000547_航天发展_2023.pdf,5071,4f620e17527eb0bcd12dde8c8e6e19783a76d12144cd30b526f15cb11330d995,downloaded
000559,万向钱潮,汽车制造业,2023,2023年年度报告,1219908737,2024-04-30,corpus\raw\000559_万向钱潮_2023.pdf,1318,531df140692cbc6815e90754849a71d113928c231d5edfcbd412bb528836f25c,downloaded
000568,泸州老窖,酒、饮料和精制茶制造业,2023,2023年年度报告,1219872991,2024-04-27,corpus\raw\000568_泸州老窖_2023.pdf,5747,c410ac2e3a1e786af997921a88e903077ad55572230dbc6e942dfb85d52db91c,downloaded
000596,古井贡酒,酒、饮料和精制茶制造业,2023,2023年年度报告,1219873167,2024-04-27,corpus\raw\000596_古井贡酒_2023.pdf,4524,a9a39569372f4fa03c109368e144bab0001f6145c83fb6b85ca2a74506bdd0c3,downloaded
000651,格力电器,电气机械和器材制造业,2023,2023年年度报告,1219928418,2024-04-30,corpus\raw\000651_格力电器_2023.pdf,3820,32ebc475a2291ce4f1b5c1a9f9da55227e03192f07e75041e976c29d213ec8aa,downloaded
000663,永安林业,农、林、牧、渔业,2023,2023年年度报告,1219914612,2024-04-30,corpus\raw\000663_永安林业_2023.pdf,1385,aa4ed9df5d94d7b63071e221d207d44c5e9deb8f7d616e8ff9a259d69ff4836c,downloaded
000752,*ST西发,酒、饮料和精制茶制造业,2023,2023年年度报告,1219874211,2024-04-27,corpus\raw\000752_ST西发_2023.pdf,1404,955b29e9693c3dc9ec90a7b544b7e5bdc79918cace1e5b40d4157d19b2174ee9,downloaded
000799,酒鬼酒,酒、饮料和精制茶制造业,2023,2023年年度报告,1219867553,2024-04-29,corpus\raw\000799_酒鬼酒_2023.pdf,3066,24ccd1eb942e68f9949ede18ceb07074779708fd92a5d4dba261b3b7cf61fc0c,downloaded
000836,富通信息,电气机械和器材制造业,2023,2023年年度报告,1219927211,2024-04-30,corpus\raw\000836_富通信息_2023.pdf,4611,a8ec542b34fefd0b14fee2402e3f068e95d406e0041e9a492dd1a23e08d70b29,downloaded
000858,五 粮 液,酒、饮料和精制茶制造业,2023,2023年年度报告,1219873658,2024-04-29,corpus\raw\000858_五粮液_2023.pdf,4537,1aab0efbe751c145990ac9652c3aff165452ee060bf22a0fe0412996a55e8566,downloaded
000893,亚钾国际,化学原料和化学制品制造业,2023,2023年年度报告,1219913026,2024-04-30,corpus\raw\000893_亚钾国际_2023.pdf,4585,d17d6fdf959f1ff175ece714d7760f58e79adc79b8e22ce34b7d632afbdf1edd,downloaded
000908,景峰医药,医药制造业,2023,2023年年度报告,1219924795,2024-04-30,corpus\raw\000908_景峰医药_2023.pdf,3400,1e6ad6b816e085723719c37b8c3fce1eb47f0dbca6a9ec57ff8829b913ef14d1,downloaded
000928,中钢国际,土木工程建筑业,2023,2023年年度报告,1219906752,2024-04-30,corpus\raw\000928_中钢国际_2023.pdf,6259,a9f0a5d2ac64162cef786fe62626723a99f05e6add7811ba189fe088d79a45a2,downloaded
000980,众泰汽车,汽车制造业,2023,2023年年度报告,1219924382,2024-04-30,corpus\raw\000980_众泰汽车_2023.pdf,2052,cebe9d8d43a8800ba1cd405c6df234f6352e03c4cc4ddcac2cec05ce0524cc68,downloaded
000981,山子高科,汽车制造业,2023,山子高科技股份有限公司2023年年度报告,1219924325,2024-04-30,corpus\raw\000981_山子高科_2023.pdf,6598,df8e517ebe7b3e5910762ebcefd61c8855f1977ec09e26ffbc6acd51ffb2214d,downloaded
000995,皇台酒业,酒、饮料和精制茶制造业,2023,2023年年度报告,1219924412,2024-04-30,corpus\raw\000995_皇台酒业_2023.pdf,1600,42ba25389fb3a14565c7a0413ae78303115e2edd695c888289034999516dce07,downloaded
001201,东瑞股份,农、林、牧、渔业,2023,2023年年度报告,1219910083,2024-04-30,corpus\raw\001201_东瑞股份_2023.pdf,4592,bb53503116f459633901bcca2596a58a09b10dabdc7f2d7ee031b33ec1e83ab4,downloaded
001215,千味央厨,食品制造业,2023,2023年年度报告,1219873455,2024-04-27,corpus\raw\001215_千味央厨_2023.pdf,3986,a27429864c5d794ce674aaad5da68138a7b5c99d88367ac950c486af641e77b8,downloaded
002061,浙江交科,土木工程建筑业,2023,2023年年度报告,1219913359,2024-04-30,corpus\raw\002061_浙江交科_2023.pdf,4359,b13166f9aa29899d7062b87432471e507edeb1f61187e7da2a8d0f6d3624bedd,downloaded
002086,*ST东洋,农、林、牧、渔业,2023,2023年年度报告,1219924758,2024-04-30,corpus\raw\002086_ST东洋_2023.pdf,3517,b457b6db30baf9b164a364ff1335f7373e1dcff2667389b8c140f029763d10cc,downloaded
002092,中泰化学,化学原料和化学制品制造业,2023,2023年年度报告,1219917121,2024-04-30,corpus\raw\002092_中泰化学_2023.pdf,6284,cde05f36faa509dc1eab403f2cbbcf61fec2e22c5f34adbbca04c6a8ebb98028,downloaded
002124,天邦食品,农、林、牧、渔业,2023,2023年年度报告,1219920450,2024-04-30,corpus\raw\002124_天邦食品_2023.pdf,6503,98286ddf1ad9e24e8f3908782c7d87d51ba86fbd77384dd3facc25853bcf8735,downloaded
002157,*ST 正邦,农、林、牧、渔业,2023,2023年年度报告,1219923507,2024-04-30,corpus\raw\002157_ST正邦_2023.pdf,1512,a254c1854f2657f3fe4e40b2a9757fc812ea7ec58119b5164a1da4bc6a9bec4c,downloaded
002196,方正电机,电气机械和器材制造业,2023,2023年年度报告,1219922165,2024-04-30,corpus\raw\002196_方正电机_2023.pdf,4243,fdd5cbf89707c1c4de2452827423b598f0d369240e2d71d3017b0089bfdbbd70,downloaded
002217,合力泰,计算机、通信和其他电子设备制造业,2023,2023年年度报告,1219925663,2024-04-30,corpus\raw\002217_合力泰_2023.pdf,6283,5009ae4559a6ba44fdd1433ffe571a35bd7464c7de5570b3a88ae11fa3282ab1,downloaded
002239,奥特佳,汽车制造业,2023,奥特佳新能源科技股份有限公司2023年年度报告（修订版）,1220626522,2024-07-13,corpus\raw\002239_奥特佳_2023.pdf,6388,d86a65a2607f7244279212771c311e8f711e569e7543844aaebca07608877ee6,downloaded
002288,超华科技,计算机、通信和其他电子设备制造业,2023,2023年年度报告,1219928686,2024-04-30,corpus\raw\002288_超华科技_2023.pdf,3540,8c17c4e0aec6c5e1574512eb25639030d3754bbdcb40653215bf6ea6d2d186a1,downloaded
002304,洋河股份,酒、饮料和精制茶制造业,2023,2023年年度报告,1219873234,2024-04-27,corpus\raw\002304_洋河股份_2023.pdf,3240,68e5e79fc98e575983ab55a851f6d40da4ab4e5095a117ea416f901161c2622f,downloaded
002341,新纶新材,化学原料和化学制品制造业,2023,2023年年度报告,1219928259,2024-04-30,corpus\raw\002341_新纶新材_2023.pdf,1245,0a0d28ae222417236579efe5d0b8202247b9086456ff847dfdf1cca029ac257d,downloaded
002355,兴民智通,汽车制造业,2023,2023年年度报告,1219920855,2024-04-30,corpus\raw\002355_兴民智通_2023.pdf,3817,d8d040245e71a133c0603a387468dd283477c94301c4a673588f55ef146762d0,downloaded
002388,新亚制程,计算机、通信和其他电子设备制造业,2023,2023年年度报告,1219926697,2024-04-30,corpus\raw\002388_新亚制程_2023.pdf,5566,bf7e87a837117b8015eef3495fd9808bc35b640c973d5cd1237fed4ea305b797,downloaded
002424,贵州百灵,医药制造业,2023,2023年年度报告,1219927538,2024-04-30,corpus\raw\002424_贵州百灵_2023.pdf,5491,b4c93a616bd5a50084a130a652a179adba153e9dcb99229c768f250ec3adf0f2,downloaded
